Company,Ticker,Market Cap,Price,Daily Change (%),Country
Greif,GEF,3140000000.0,64.6,-1.63,USA
Insight Enterprises,NSIT,3130000000.0,90.08,-0.66,USA
Calix,CALX,3130000000.0,49.43,2.55,USA
SurveyMonkey,SVMK,3130000000.0,21.55,1.22,USA
SSR Mining,SSRM,3130000000.0,14.55,2.25,Canada
Embraer,ERJ,3130000000.0,17.0,-1.9,Brazil
stem,STEM,3120000000.0,23.89,1.27,USA
Instructure Holdings,INST,3120000000.0,22.59,-1.7,USA
Akbank,AKBNK.IS,3120000000.0,0.6,1.72,Turkey
Trupanion,TRUP,3120000000.0,77.67,-4.21,USA
Semrush,SEMR,3120000000.0,23.06,-3.92,USA
Alabama Power,ALPVN,3120000000.0,102.25,0.0,USA
Vale Indonesia,INCO.JK,3120000000.0,0.31,-1.96,Indonesia
TAL Education Group,TAL,3120000000.0,4.84,9.75,China
Indoritel,DNET.JK,3110000000.0,0.22,-0.63,Indonesia
Hillenbrand,HI,3110000000.0,42.65,-1.36,USA
Investec,INVR.L,3110000000.0,17.99,0.57,UK
Allete,ALE,3110000000.0,59.52,-1.49,USA
Champion REIT,2778.HK,3110000000.0,0.52,0.0,Hong Kong
Krones,KRN.F,3100000000.0,98.33,-3.48,Germany
CLEAR Secure,YOU,3090000000.0,41.05,1.51,USA
CIE Automotive,CIE.MC,3090000000.0,25.29,-1.45,Spain
K+S,SDF.F,3090000000.0,16.15,0.65,Germany
NuVasive,NUVA,3090000000.0,59.85,-3.75,USA
ForgeRock,FORG,3090000000.0,38.93,8.14,USA
Mr. Cooper Group,COOP,3080000000.0,41.17,1.13,USA
ManTech,MANT,3080000000.0,75.92,-1.91,USA
Mercury General,MCY,3080000000.0,55.67,-2.11,USA
Bank of India,BANKINDIA.NS,3080000000.0,0.75,0.36,India
Gerresheimer,GXI.F,3080000000.0,98.1,-0.18,Germany
Independent Bank Group,IBTX,3060000000.0,71.04,-1.03,USA
Silvergate Capital,SI,3060000000.0,115.5,-0.06,USA
Romgaz,RZ8G.F,3060000000.0,7.6,0.0,Romania
Blend Labs,BLND,3060000000.0,13.48,-4.4,USA
Axos Financial,AX,3050000000.0,51.54,2.14,USA
AdaptHealth,AHCO,3040000000.0,23.29,0.17,USA
Liberty Latin America,LILA,3040000000.0,13.08,1.95,USA
Viscofan,VIS.MC,3040000000.0,65.65,-1.14,Spain
SPX FLOW,FLOW,3040000000.0,73.1,-1.18,USA
CNO Financial Group,CNO,3040000000.0,23.54,-1.22,USA
Cooper Tire & Rubber Company,CTB,3040000000.0,60.17,0.0,USA
California Water Service,CWT,3030000000.0,58.93,-0.96,USA
Corporate Office Properties Trust,OFC,3030000000.0,26.98,-2.21,USA
Nelnet,NNI,3020000000.0,79.24,-0.61,USA
ABM Industries,ABM,3020000000.0,45.01,-1.25,USA
Vroom,VRM,3010000000.0,22.07,-3.29,USA
Dorman Products,DORM,3010000000.0,94.67,-3.36,USA
Werner Enterprises,WERN,3000000000.0,44.27,-2.7,USA
Axonics Modulation Tech,AXNX,3000000000.0,65.09,-1.23,USA
Ameresco,AMRC,3000000000.0,58.43,-0.17,USA
Kymera Therapeutics,KYMR,2990000000.0,58.74,0.5,USA
Prospect Capital,PSEC,2990000000.0,7.7,-1.03,USA
Globalstar,GSAT,2990000000.0,1.67,3.73,USA
Turquoise Hill Resources,TRQ,2980000000.0,14.76,4.09,Canada
Cytokinetics,CYTK,2980000000.0,35.74,6.4,USA
Aston Martin,A5SA.F,2970000000.0,25.58,-1.65,UK
Suntec REIT,T82U.SI,2960000000.0,1.04,0.0,Singapore
Helmerich & Payne,HP,2950000000.0,27.41,-1.08,USA
Türk Telekom,TTKOM.IS,2950000000.0,0.84,3.45,Turkey
Endurance Technologies,ENDURANCE.NS,2950000000.0,21.0,-1.67,India
NorthWestern Corporation,NWE,2950000000.0,57.3,-2.48,USA
Hecla Mining,HL,2950000000.0,5.5,0.92,USA
Badger Meter,BMI,2950000000.0,101.14,-4.9,USA
HSBC Trinkaus & Burkhardt,TUB.F,2940000000.0,86.49,0.0,Germany
Galicia Financial Group,GGAL,2940000000.0,10.07,3.18,Argentina
Integer Holdings,ITGR,2940000000.0,89.34,-1.87,USA
Graham Holdings,GHC,2940000000.0,589.16,-1.12,USA
Ebro Foods,EBRO.MC,2940000000.0,19.11,0.37,Spain
Terex,TEX,2930000000.0,42.1,-2.37,USA
Ultrapar Participacoes,UGP,2930000000.0,2.7,-2.17,Brazil
John Wiley & Sons,JW-A,2930000000.0,52.21,-2.03,USA
Patterson Companies,PDCO,2930000000.0,30.14,-2.27,USA
Tofaş Türk Otomobil Fabrikası,TOASO.IS,2930000000.0,5.86,4.92,Turkey
Vienna Airport,FLW1.F,2930000000.0,34.13,0.51,Austria
Verint Systems,VRNT,2920000000.0,44.79,-0.38,USA
Relay Therapeutics,RLAY,2920000000.0,31.53,-5.57,USA
Urban Outfitters,URBN,2920000000.0,29.69,-5.33,USA
First Majestic Silver,AG,2910000000.0,11.3,2.08,Canada
Casino Guichard-Perrachon,CO.PA,2910000000.0,26.99,-3.17,France
J&J Snack Foods,JJSF,2910000000.0,152.82,-1.57,USA
Viela Bio,VIE,2910000000.0,53.01,0.0,USA
Vishay Intertechnology,VSH,2900000000.0,20.09,-0.94,USA
Dürr,DUE.F,2900000000.0,42.03,-4.84,Germany
FormFactor,FORM,2890000000.0,37.33,-0.88,USA
APL Apollo,APLAPOLLO.NS,2890000000.0,11.47,3.55,India
Keppel REIT,K71U.SI,2890000000.0,0.79,0.94,Singapore
Nova Measuring Instruments,NVMI,2890000000.0,102.29,1.54,Israel
UNITI,UNIT,2880000000.0,12.37,-0.96,USA
Texas Capital Bancshares,TCBIL,2880000000.0,25.02,0.08,USA
Kirby Corporation,KEX,2880000000.0,47.96,-4.56,USA
Indian Hotels Company,INDHOTEL.NS,2880000000.0,2.42,-0.88,India
UNB Corp,UNPA,2880000000.0,130.0,0.0,USA
Kontoor Brands,KTB,2880000000.0,49.95,-9.61,USA
TransAlta,TAC,2870000000.0,10.56,3.63,Canada
Turkey İş Bank,ISATR.IS,2870000000.0,29347.0,0.0,Turkey
Corbion,CRBN.AS,2870000000.0,48.48,-0.9,Netherlands
Österreichische Post,POST.VI,2870000000.0,42.49,-0.41,Austria
Kennametal,KMT,2860000000.0,34.23,-2.42,USA
Apellis Pharmaceuticals,APLS,2860000000.0,32.96,-2.86,USA
Vector Limited,VCT.NZ,2850000000.0,2.86,3.23,New Zealand
Cactus Wellhead,WHD,2850000000.0,37.72,2.44,USA
Herman Miller,MLHR,2850000000.0,37.66,-6.13,USA
Shangri-La,0069.HK,2840000000.0,0.79,1.31,Hong Kong
MakeMyTrip,MMYT,2840000000.0,27.19,5.51,India
Colbún,COLBUN.SN,2840000000.0,0.16,-0.45,Chile
United Community Bank,UCBI,2840000000.0,32.82,0.4,USA
Cabot Corporation,CBT,2840000000.0,50.12,-2.62,USA
Alamos Gold,AGI,2840000000.0,7.2,2.71,Canada
Aurinia Pharmaceuticals,AUPH,2840000000.0,22.13,-3.74,Canada
Şişecam,SISE.IS,2820000000.0,0.92,0.24,Turkey
Translate Bio,TBIO,2820000000.0,37.36,0.0,USA
Ingevity,NGVT,2820000000.0,71.37,-2.15,USA
Main Street Capital,MAIN,2810000000.0,41.1,-1.01,USA
Yancoal,YAL.AX,2810000000.0,2.13,10.04,Australia
Minda Industries,MINDAIND.NS,2810000000.0,9.86,-0.98,India
Uniqa Insurance Group,UN9.F,2810000000.0,8.83,-2.69,Austria
United Industrial Corporation,U06.SI,2810000000.0,1.96,1.52,Singapore
Spirit Airlines,SAVE,2810000000.0,25.94,-2.41,USA
Old National Bank,ONB,2800000000.0,16.95,-1.11,USA
Prestige Consumer Healthcare,PBH,2800000000.0,56.11,-1.6,USA
NetLink Trust,CJLU.SI,2800000000.0,0.72,-1.51,Singapore
Aixtron,AIXA.F,2800000000.0,25.02,0.94,Germany
Editas Medicine,EDIT,2800000000.0,41.08,-3.34,USA
Newmark,NMRK,2790000000.0,14.31,-1.51,USA
Covivio Hotels,COVH.PA,2790000000.0,18.87,0.31,France
El Paso Electric,EE,2780000000.0,68.4,-0.01,USA
LendingClub,LC,2780000000.0,28.24,5.57,USA
Outokumpu,OUT1V.HE,2770000000.0,6.13,-0.56,Finland
CommScope,COMM,2770000000.0,13.59,-0.59,USA
Cardlytics,CDLX,2770000000.0,83.94,-2.53,USA
Pigeon,7956.T,2770000000.0,23.17,-0.35,Japan
Aavas Financiers,AAVAS.NS,2760000000.0,35.07,1.62,India
Immofinanz,IMO1.F,2760000000.0,23.66,-1.55,Austria
Retail Properties of America,RPAI,2760000000.0,12.88,-1.64,USA
Cannae Holdings,CNNE,2760000000.0,31.11,0.68,USA
U.S. Cellular,USM,2760000000.0,31.89,-0.96,USA
Kratos Defense & Security Solutions,KTOS,2760000000.0,22.31,-1.46,USA
GrafTech,EAF,2760000000.0,10.32,-4.97,USA
CVB Financial,CVBF,2760000000.0,20.37,-1.21,USA
Minera Valparaíso,MINERA.SN,2760000000.0,22.1,-0.01,Chile
Sun TV Network,SUNTV.NS,2750000000.0,6.99,2.67,India
Live Oak Bank,LOB,2750000000.0,63.63,0.25,USA
CS Disco,LAW,2750000000.0,47.94,-0.77,USA
Heska Corporation,HSKA,2750000000.0,258.54,1.44,USA
Green Dot,GDOT,2750000000.0,50.33,0.7,USA
CNX Resources,CNX,2750000000.0,12.62,0.48,USA
Domtar,UFS,2740000000.0,54.54,-0.84,USA
Swissquote,SQN.SW,2740000000.0,185.38,-0.23,Switzerland
Cadence Bancorp,CADE,2740000000.0,21.96,-0.81,USA
Yelp,YELP,2730000000.0,37.24,-1.95,USA
American Equity Investment Life Holding,AEL,2730000000.0,29.57,-0.3,USA
United Natural Foods,UNFI,2730000000.0,48.42,-4.82,USA
Elkem,ELK.OL,2720000000.0,4.32,2.21,Norway
Columbia Bank,COLB,2720000000.0,37.99,-1.68,USA
Avista,AVA,2720000000.0,39.12,-1.73,USA
Cortexyme,CRTX,2720000000.0,91.66,-1.74,USA
Agios Pharmaceuticals,AGIO,2720000000.0,46.15,-0.13,USA
Worthington Industries,WOR,2710000000.0,52.7,-2.84,USA
Domo,DOMO,2710000000.0,84.44,0.73,USA
Evolent Health,EVH,2700000000.0,31.0,7.12,USA
Beijing Airport,0694.HK,2690000000.0,0.59,0.66,China
Mercury Systems,MRCY,2690000000.0,47.42,0.27,USA
Trinity Industries,TRN,2690000000.0,27.17,-2.72,USA
Nordex,NDX1.F,2690000000.0,16.83,-0.28,Germany
Lithium Americas,LAC,2690000000.0,22.33,8.87,Canada
Emergent BioSolutions,EBS,2680000000.0,50.07,-3.15,USA
Orange Polska,TPA1.F,2680000000.0,1.97,-2.3,Poland
Eckert & Ziegler,EUZ.F,2680000000.0,128.98,-0.27,Germany
"Sumitomo Chemical
 India",SUMICHEM.NS,2680000000.0,5.38,-0.78,India
Flagstar Bank,FBC,2680000000.0,50.78,-0.57,USA
Gentherm,THRM,2680000000.0,80.93,-0.98,USA
Crescent Point Energy,CPG,2680000000.0,4.61,1.32,Canada
Gibson Energy,GEI.TO,2680000000.0,18.3,0.48,Canada
Covanta,CVA,2670000000.0,20.12,-0.1,USA
Fortis Healthcare,FORTIS.NS,2670000000.0,3.54,-0.25,India
Robertet,CBE.PA,2670000000.0,1043.0,-5.47,France
CRISIL,CRISIL.NS,2670000000.0,36.71,0.17,India
Toyo Tire,5105.T,2660000000.0,17.34,-3.24,Japan
Energizer Holdings,ENR,2660000000.0,39.05,-1.84,USA
ACADIA Pharmaceuticals,ACAD,2660000000.0,16.61,-2.06,USA
Shop Apotheke Europe,SAE.F,2660000000.0,147.44,-0.39,Netherlands
Escorts Limited,ESCORTS.NS,2660000000.0,19.64,-1.56,India
Constellium,CSTM,2660000000.0,18.78,-2.54,France
Helios Technologies,HLIO,2650000000.0,82.11,-4.0,USA
MGE Energy,MGEE,2650000000.0,73.5,-1.9,USA
Fulgent Genetics,FLGT,2650000000.0,89.95,0.01,USA
Taubman,TCO,2650000000.0,42.99,0.0,USA
BIC,BB.PA,2650000000.0,59.09,-0.39,France
Hilltop Holdings,HTH,2650000000.0,32.67,-2.04,USA
KWS,KWS.F,2650000000.0,80.22,-0.14,Germany
Central Bancompany,CBCYB,2640000000.0,585.0,0.0,USA
AEON REIT Investment,3292.T,2640000000.0,1300.0,-2.94,Japan
Sprouts Farmers Market,SFM,2640000000.0,23.17,-1.7,USA
SolarWinds,SWI,2640000000.0,16.73,-0.42,USA
Visteon,VC,2640000000.0,94.39,-2.1,USA
Brady,BRC,2630000000.0,50.7,-1.59,USA
nternational Bancshares Corp,IBOC,2630000000.0,41.64,-0.76,USA
Cedar Fair,FUN,2630000000.0,46.38,1.35,USA
Arbor Realty Trust,ABR,2630000000.0,18.53,0.32,USA
Taiwan Business Bank,2834.TW,2630000000.0,0.34,-1.05,Taiwan
Acer,2353.TW,2630000000.0,0.88,-1.41,Taiwan
Tokai Carbon,5301.T,2630000000.0,12.35,-4.16,Japan
GAG Immobilien,GWK3.HM,2620000000.0,162.53,-0.71,Germany
PTC Therapeutics,PTCT,2620000000.0,37.21,0.43,USA
Boot Barn Holdings,BOOT,2620000000.0,88.87,-8.22,USA
8x8,EGHT,2620000000.0,23.39,1.39,USA
Shinpoong Pharm,019170.KS,2610000000.0,48.43,0.17,S. Korea
Hippo,HIPO,2610000000.0,4.68,3.08,USA
Valaris,VAL,2610000000.0,34.88,1.78,UK
Sunstone Hotel Investors,SHO,2610000000.0,11.94,-2.21,USA
Belden,BDC,2610000000.0,58.26,-2.95,USA
Chong Hing Bank,1111.HK,2610000000.0,2.68,0.48,Hong Kong
Sage Therapeutics,SAGE,2600000000.0,44.31,0.36,USA
Comfort Systems,FIX,2580000000.0,71.32,-2.29,USA
RIB Software,RIB.F,2580000000.0,49.63,-0.12,Germany
Prestige Group,PRESTIGE.NS,2580000000.0,6.45,-2.6,India
Grupo Aeroportuario Centro Norte,OMAB,2570000000.0,46.85,0.24,Mexico
BioCryst Pharmaceuticals,BCRX,2570000000.0,14.37,-0.07,USA
Sanoma,SAA1V.HE,2560000000.0,15.72,-0.15,Finland
Mandarin Oriental,M04.SI,2560000000.0,2.03,-2.87,Hong Kong
Masonite,DOOR,2550000000.0,106.13,-3.68,USA
Meredith Corp,MDP,2550000000.0,55.7,-0.41,USA
Amicus Therapeutics,FOLD,2540000000.0,9.55,-1.14,USA
Health Catalyst,HCAT,2540000000.0,50.01,-0.24,USA
Membership Collective,MCG,2530000000.0,12.44,-2.58,UK
Stepan Company,SCL,2530000000.0,112.94,-1.87,USA
Air New Zealand,ANZFF,2530000000.0,1.11,-0.89,New Zealand
Primo Water,PRMW,2530000000.0,15.72,-0.95,USA
Kajaria Ceramics,KAJARIACER.NS,2530000000.0,15.88,-1.59,India
Indian Energy Exchange,IEX.NS,2530000000.0,8.45,-2.93,India
Plexus,PLXS,2520000000.0,89.41,-1.04,USA
SmartRent,SMRT,2520000000.0,13.02,3.33,USA
Rush Enterprises,RUSHA,2520000000.0,45.16,-2.31,USA
Renewable Energy Group,REGI,2520000000.0,50.2,2.47,USA
Myriad Genetics,MYGN,2520000000.0,32.29,0.22,USA
Volaris,VLRS,2510000000.0,21.81,-1.89,Mexico
Independent Bank,INDB,2510000000.0,76.15,-1.5,USA
Central Bancompany,CBCY,2510000000.0,592.0,0.0,USA
Triumph Bancorp,TBK,2510000000.0,100.13,1.91,USA
Black Stone Minerals,BSM,2510000000.0,12.05,2.55,USA
Fannie Mae,FNMAL,2510000000.0,3.36,5.0,USA
Sanmina,SANM,2500000000.0,38.54,-1.41,USA
The Navigator Company,NVG.LS,2500000000.0,3.52,0.86,Portugal
First Interstate BancSystem,FIBK,2500000000.0,40.26,0.73,USA
2U,TWOU,2500000000.0,33.57,0.54,USA
Covetrus,CVET,2490000000.0,18.14,-0.44,USA
Quilter,QLT.L,2490000000.0,10.86,1.68,UK
Fulton Financial,FULT,2490000000.0,15.28,-1.55,USA
Arcus Biosciences,RCUS,2480000000.0,34.87,1.04,USA
Pacira Biosciences,PCRX,2480000000.0,56.0,-1.27,USA
Locaweb,LWSA3.SA,2480000000.0,4.22,4.86,Brazil
Albany International,AIN,2480000000.0,76.87,-2.28,USA
Arçelik,ARCLK.IS,2480000000.0,3.68,-0.06,Turkey
OPKO Health,OPK,2480000000.0,3.65,0.27,USA
SkyWest,SKYW,2480000000.0,49.34,-2.37,USA
PostNL,PNL.AS,2480000000.0,4.84,1.98,Netherlands
Cassava Sciences,SAVA,2480000000.0,62.08,-0.1,USA
Magellan Health,MGLN,2480000000.0,94.55,-0.17,USA
MVV Energie,MVV1.F,2480000000.0,36.69,0.0,Germany
St. Joe Company,JOE,2470000000.0,42.1,-2.14,USA
Fortress Transportation,FTAI,2470000000.0,25.38,1.4,USA
RLJ Lodging Trust,RLJ,2470000000.0,14.86,-1.65,USA
Mapletree North Asia Commercial Trust,RW0U.SI,2470000000.0,0.71,0.0,Singapore
Microvast,MVST,2470000000.0,8.22,-4.42,USA
Madison Square Garden,MSGE,2460000000.0,72.67,-0.41,USA
Transocean,RIG,2460000000.0,3.79,0.0,Switzerland
Riot Blockchain,RIOT,2460000000.0,25.7,3.34,USA
Central Garden & Pet,CENT,2460000000.0,48.0,-2.42,USA
Traeger,COOK,2460000000.0,20.93,-0.33,USA
Star Bulk Carriers,SBLK,2450000000.0,24.04,4.16,Greece
Sanofi India Limited,SANOFI.NS,2450000000.0,106.7,1.48,India
Mednax,MD,2450000000.0,28.43,-1.76,USA
Wolverine World Wide,WWW,2450000000.0,29.84,-6.63,USA
National Health Investors,NHI,2450000000.0,53.5,-0.91,USA
FuelCell Energy,FCEL,2450000000.0,6.69,1.83,USA
The Cheesecake Factory,CAKE,2450000000.0,47.0,-1.24,USA
Spirent,SPNUF,2440000000.0,4.0,0.0,UK
WSFS Financial,WSFS,2430000000.0,51.31,-1.42,USA
Coca-Cola İçecek,CCOLA.IS,2430000000.0,9.58,3.54,Turkey
Enviva,EVA,2430000000.0,54.09,-0.66,USA
Winnebago Industries,WGO,2430000000.0,72.45,-1.91,USA
Corsair Gaming,CRSR,2430000000.0,25.93,-1.78,USA
Arcosa,ACA,2420000000.0,50.17,-2.7,USA
At Home,HOME,2420000000.0,36.99,0.0,USA
SPX Corporation,SPXC,2420000000.0,53.45,-2.25,USA
ComfortDelGro,C52.SI,2420000000.0,1.12,0.66,Singapore
Rambus,RMBS,2410000000.0,22.2,-0.4,USA
Mueller Water Products,MWA,2410000000.0,15.22,-4.28,USA
Taro Pharmaceutical,TARO,2410000000.0,63.63,-1.61,Israel
Ahlstrom-Munksjö,AM1.HE,2410000000.0,20.98,0.0,Finland
Comstock Resources,CRK,2400000000.0,10.35,0.29,USA
Borregaard,BRG.OL,2400000000.0,24.18,1.43,Norway
Burford Capital,BUR,2400000000.0,10.99,0.27,Guernsey
Sembcorp,U96.SI,2400000000.0,1.35,0.0,Singapore
Summerset Holdings,SUM.NZ,2400000000.0,10.43,-0.26,New Zealand
Sinclair Broadcast,SBGI,2390000000.0,31.68,-1.92,USA
South Jersey Industries,SJI,2390000000.0,21.26,-3.01,USA
Doma,DOMA,2380000000.0,7.4,0.14,USA
PriceSmart,PSMT,2380000000.0,77.55,-3.87,USA
MEG Energy,MEG.TO,2380000000.0,7.78,1.54,Canada
Cubic,CUB,2380000000.0,75.0,0.32,USA
Victory Capital,VCTR,2380000000.0,35.01,-0.31,USA
Patrizia Immobilien,P1Z.VI,2370000000.0,26.59,-0.65,Germany
Virtus Investment Partners,VRTS,2370000000.0,310.32,-0.49,USA
Atlas Air Worldwide Holdings,AAWW,2370000000.0,81.68,-4.13,USA
Kemira,KEMIRA.HE,2360000000.0,15.46,0.99,Finland
Federal Bank,FEDERALBNK.NS,2360000000.0,1.13,-0.89,India
Interparfums,IPAR,2360000000.0,74.77,1.14,USA
Kadant,KAI,2360000000.0,204.1,-3.77,USA
Hub Group,HUBG,2360000000.0,68.75,-2.16,USA
Owens & Minor,OMI,2360000000.0,31.29,0.51,USA
Federal Signal,FSS,2360000000.0,38.62,-2.0,USA
Genesis Energy,GNE.NZ,2350000000.0,2.26,-0.46,New Zealand
Indian Bank,INDIANB.NS,2350000000.0,1.89,-0.04,India
Mueller Industries,MLI,2340000000.0,41.1,-2.42,USA
Minerals Technologies,MTX,2340000000.0,69.84,-2.49,USA
flatexDEGIRO AG,FTK.DE,2340000000.0,21.34,-0.22,Germany
Verra Mobility,VRRM,2340000000.0,15.07,-1.18,USA
Krispy Kreme,DNUT,2330000000.0,14.0,0.0,USA
Rajesh Exports,RAJESHEXPO.NS,2330000000.0,7.91,-0.08,India
TRI Pointe Group,TPH,2330000000.0,21.02,-3.0,USA
Goodman Property Trust,GMT.NZ,2330000000.0,1.67,0.21,New Zealand
Voltalia,VLTSA.PA,2330000000.0,24.5,0.24,France
WaFd Bank,WAFD,2330000000.0,34.31,-1.18,USA
Otter Tail,OTTR,2320000000.0,55.97,-1.46,USA
Ligand Pharmaceuticals,LGND,2320000000.0,139.32,-0.49,USA
PolyOne,POL,2320000000.0,25.41,4.35,USA
TechTarget,TTGT,2320000000.0,82.42,-1.62,USA
Azul,AZUL,2310000000.0,20.06,-1.96,Brazil
Vista Outdoor,VSTO,2310000000.0,40.31,-1.9,USA
NIC Inc.,EGOV,2300000000.0,34.0,0.0,USA
National Aluminum & Alloy,NATIONALUM.NS,2300000000.0,1.26,-0.21,India
Jeld-Wen,JELD,2300000000.0,25.03,-3.73,USA
Cinemark Theatres,CNK,2290000000.0,19.21,0.42,USA
Yapı Kredi,YKBNK.IS,2290000000.0,0.27,1.69,Turkey
Brandywine Realty Trust,BDN,2290000000.0,13.42,-1.97,USA
Jumbo S.A.,5JB.F,2290000000.0,16.11,2.06,Greece
Alfen,ALFEN.AS,2290000000.0,105.65,0.22,Netherlands
CG Power and Industrial Solutions,CGPOWER.NS,2280000000.0,1.69,1.87,India
Whiting Petroleum,WLL,2280000000.0,58.41,-0.93,USA
Cancom,COK.F,2280000000.0,59.21,-0.74,Germany
NovaGold Resources,NG,2280000000.0,6.88,3.93,Canada
Corcept Therapeutics,CORT,2280000000.0,19.68,-1.25,USA
XL Axiata,E5F.F,2270000000.0,0.19,5.16,Indonesia
Vericel,VCEL,2270000000.0,48.8,1.24,USA
Sorrento Therapeutics,SRNE,2270000000.0,7.63,2.97,USA
Gibraltar Industries,ROCK,2270000000.0,69.65,1.07,USA
Callon Petroleum,CPE,2270000000.0,49.08,0.29,USA
EchoStar,SATS,2260000000.0,25.51,-0.51,USA
Bandwidth,BAND,2260000000.0,90.28,2.77,USA
First Merchants Corporation,FRME,2260000000.0,41.84,-1.06,USA
American Assets Trust,AAT,2260000000.0,37.42,-1.27,USA
StepStone Group,STEP,2260000000.0,42.64,-1.86,USA
TowneBank,TOWN,2260000000.0,31.11,0.65,USA
Hostess Brands,TWNK,2250000000.0,17.37,-1.86,USA
Medifast,MED,2250000000.0,192.64,-2.99,USA
Fluor Corporation,FLR,2250000000.0,15.97,-2.32,USA
Mitra Keluarga,MIKA.JK,2250000000.0,0.16,-1.3,Indonesia
Brinker International,EAT,2250000000.0,49.05,-3.97,USA
State Auto Financial,STFC,2250000000.0,50.95,-0.49,USA
NexGen Energy,NXE,2250000000.0,4.73,4.65,Canada
Sabancı Holding,SAHOL.IS,2250000000.0,1.1,2.51,Turkey
Forward Air,FWRD,2240000000.0,83.02,-3.18,USA
O-I Glass,OI,2240000000.0,14.27,-3.65,USA
Natco Pharma,NATCOPHARM.NS,2240000000.0,12.3,2.36,India
Glaukos,GKOS,2240000000.0,48.17,-1.27,USA
First Financial Bank,FFBC,2240000000.0,23.41,-0.89,USA
Telephone and Data Systems,TDS,2230000000.0,19.5,-1.86,USA
Criteo,CRTO,2230000000.0,36.65,1.5,France
Carborundum Universal,CARBORUNIV.NS,2230000000.0,11.77,-1.64,India
Bachoco,IBA,2220000000.0,44.2,-1.36,Mexico
WesBanco,WSBC,2220000000.0,34.08,-0.96,USA
Abercrombie & Fitch,ANF,2220000000.0,37.63,-7.7,USA
TreeHouse Foods,THS,2220000000.0,39.88,-2.23,USA
Rocket Companies,RKT,2220000000.0,16.04,-1.78,USA
N-Able,NABL,2210000000.0,12.41,-0.24,USA
Pactiv Evergreen,PTVE,2210000000.0,12.52,5.3,USA
Golden Ocean Group,GOGL,2210000000.0,10.77,3.76,Bermuda
American Well,AMWL,2210000000.0,9.11,1.22,USA
TC PipeLines,TCP,2210000000.0,30.21,1.65,USA
Dynavax Technologies,DVAX,2200000000.0,19.21,-1.18,USA
Glu Mobile,GLUU,2200000000.0,12.5,0.0,USA
Phoenix Mills,PHOENIXLTD.NS,2200000000.0,12.81,-0.88,India
iRobot,IRBT,2200000000.0,78.5,-2.38,USA
Olav Thon,OLT.OL,2190000000.0,21.17,-1.38,Norway
Compass Minerals,CMP,2190000000.0,64.4,0.59,USA
Sonic Automotive,SAH,2190000000.0,52.54,-5.25,USA
NanoString Technologies,NSTG,2180000000.0,48.01,4.14,USA
Liberty Oilfield Services,LBRT,2180000000.0,12.13,-5.38,USA
Columbia Property Trust,CXP,2180000000.0,19.02,0.05,USA
Jinko Solar,JKS,2180000000.0,45.81,9.46,China
Momo,MOMO,2180000000.0,10.58,1.34,China
Everi Holdings,EVRI,2170000000.0,24.18,0.29,USA
Cimpress,CMPR,2170000000.0,86.83,0.42,Ireland
Gray Television,GTN,2170000000.0,22.82,-0.87,USA
Cavco Industries,CVCO,2170000000.0,236.74,-3.38,USA
First Midwest Bancorp,FMBI,2170000000.0,19.01,-1.25,USA
Turkish Airlines,THYAO.IS,2170000000.0,1.57,1.23,Turkey
Talend,TLND,2170000000.0,65.97,0.02,France
Thermax,THERMAX.NS,2160000000.0,18.18,-0.84,India
C4 Therapeutics,CCCC,2160000000.0,44.68,-6.86,USA
Sandy Spring Bank,SASR,2160000000.0,45.82,-0.61,USA
Piedmont Office Realty Trust,PDM,2160000000.0,17.43,-1.19,USA
Pfeiffer Vacuum,PFV.F,2160000000.0,211.29,-0.33,Germany
Dutch Bros,BROS,2160000000.0,43.32,-3.63,USA
Progress Software,PRGS,2150000000.0,49.19,0.88,USA
Dycom Industries,DY,2140000000.0000002,71.24,-1.58,USA
Sykes Enterprises,SYKE,2140000000.0000002,54.0,0.0,USA
Proterra,PTRA,2140000000.0000002,10.11,-1.37,USA
Urban Edge Properties,UE,2140000000.0000002,18.31,-0.87,USA
PQ Group,PQG,2140000000.0000002,15.65,0.58,USA
AeroVironment,AVAV,2140000000.0000002,86.32,-0.3,USA
Office Depot,ODP,2140000000.0000002,40.16,-5.71,USA
Independence Realty Trust,IRT,2130000000.0,20.35,-2.07,USA
World Fuel Services,INT,2130000000.0,33.62,0.36,USA
ACM Research,ACMR,2130000000.0,110.0,5.98,USA
Telecom Argentina,TEO,2130000000.0,4.95,0.0,Argentina
Ironwood Pharmaceuticals,IRWD,2120000000.0,13.06,-1.36,USA
ADC Therapeutics,ADCT,2120000000.0,27.16,1.19,Switzerland
Boise Cascade,BCC,2120000000.0,53.98,-2.95,USA
Seer,SEER,2120000000.0,34.53,2.49,USA
RHI Magnesita,RHF.F,2120000000.0,43.65,-1.57,Austria
DCM Shriram,DCMSHRIRAM.NS,2120000000.0,13.6,-0.18,India
SelectQuote,SLQT,2109999999.9999998,12.93,0.54,USA
Cronos Group,CRON,2109999999.9999998,5.66,1.07,Canada
Allegheny Technologies,ATI,2109999999.9999998,16.63,-1.6,USA
Retail Opportunity Investments,ROIC,2109999999.9999998,17.42,-2.08,USA
Barnes Group,B,2109999999.9999998,41.73,-1.67,USA
Chesapeake Utilities,CPK,2109999999.9999998,120.05,-1.8,USA
